"333748243","\mod_quiz\event\question_manually_graded","mod_quiz","graded","question_manually","question","814377","c","1","2555055","70","1717287","90316","23388",NULL,"0","a:3:{s:6:""quizid"";s:5:""24709"";s:9:""attemptid"";s:7:""2874993"";s:4:""slot"";i:19;}","1469060207","web","188.39.68.2",NULL
"333748831","\mod_quiz\event\question_manually_graded","mod_quiz","graded","question_manually","question","814371","c","1","2555055","70","1717287","90316","23388",NULL,"0","a:3:{s:6:""quizid"";s:5:""24709"";s:9:""attemptid"";s:7:""2874993"";s:4:""slot"";i:16;}","1469060375","web","188.39.68.2",NULL
"333749603","\mod_quiz\event\question_manually_graded","mod_quiz","graded","question_manually","question","814371","c","1","2555055","70","1717287","90316","23388",NULL,"0","a:3:{s:6:""quizid"";s:5:""24709"";s:9:""attemptid"";s:7:""2874993"";s:4:""slot"";i:16;}","1469060598","web","188.39.68.2",NULL
"333750283","\core\event\user_graded","core","graded","user","grade_grades","9527681","u","1","1993374","50","23388","90316","23388","380061","0","a:3:{s:6:""itemid"";s:6:""160373"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:32.014290000000003;}","1469060795","web","188.39.68.2",NULL
"333750285","\core\event\user_graded","core","graded","user","grade_grades","9527683","u","1","1993374","50","23388","90316","23388","380061","0","a:3:{s:6:""itemid"";s:6:""128757"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:84.248130000000003;}","1469060795","web","188.39.68.2",NULL
"333750287","\mod_quiz\event\question_manually_graded","mod_quiz","graded","question_manually","question","814326","c","1","2555055","70","1717287","90316","23388",NULL,"0","a:3:{s:6:""quizid"";s:5:""24709"";s:9:""attemptid"";s:7:""2874993"";s:4:""slot"";i:1;}","1469060795","web","188.39.68.2",NULL
"333757969","\core\event\user_graded","core","graded","user","grade_grades","14463725","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90690"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:1;}","1469062896","web","115.112.196.146",NULL
"333757971","\core\event\user_graded","core","graded","user","grade_grades","14463705","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90654"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:3.25;}","1469062896","web","115.112.196.146",NULL
"333757993","\core\event\user_graded","core","graded","user","grade_grades","14463725","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90690"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:2;}","1469062901","web","115.112.196.146",NULL
"333757995","\core\event\user_graded","core","graded","user","grade_grades","14463705","u","1","1458027","50","18162","296097","18162","296097","0","a:3:{s:6:""itemid"";s:5:""90654"";s:10:""overridden"";b:0;s:10:""finalgrade"";d:3.375;}","1469062901","web","115.112.196.146",NULL
